Current directory: /nfsmnt/120090069/Project4
Softmax OpenACC
Training softmax regression (GPU)
| Epoch | Train Loss | Train Err | Test Loss | Test Err |
|     0 |    0.35134 |   0.10182 |   0.35134 |  0.10182 |
|     1 |    0.32142 |   0.09268 |   0.32142 |  0.09268 |
|     2 |    0.30802 |   0.08795 |   0.30802 |  0.08795 |
|     3 |    0.29987 |   0.08532 |   0.29987 |  0.08532 |
|     4 |    0.29415 |   0.08323 |   0.29415 |  0.08323 |
|     5 |    0.28981 |   0.08182 |   0.28981 |  0.08182 |
|     6 |    0.28633 |   0.08085 |   0.28633 |  0.08085 |
|     7 |    0.28345 |   0.07997 |   0.28345 |  0.07997 |
|     8 |    0.28100 |   0.07923 |   0.28100 |  0.07923 |
|     9 |    0.27887 |   0.07847 |   0.27887 |  0.07847 |
Execution Time: 2263 milliseconds

